antecedent,consequent,support,confidence,total_items
"говяжий фарш, яйца",минеральная вода,0.010131982402346354,0.5066666666666667,3
"говяжий фарш, молоко",минеральная вода,0.011065191307825623,0.503030303030303,3
"говяжий фарш, шоколад",минеральная вода,0.010931875749900012,0.47398843930635837,3
"замороженные овощи, молоко",минеральная вода,0.011065191307825623,0.46892655367231634,3
"блинчики, макароны",минеральная вода,0.011731769097453673,0.4583333333333333,3
суп,минеральная вода,0.023063591521130515,0.45646437994722955,2
"макароны, оливковое масло",минеральная вода,0.010665244634048793,0.449438202247191,3
"макароны, молоко",минеральная вода,0.0161311825089988,0.43682310469314073,3
"молоко, шоколад",минеральная вода,0.013998133582189041,0.43568464730290457,3
"замороженные овощи, макароны",минеральная вода,0.012265031329156113,0.4339622641509434,3
"говяжий фарш, макароны",минеральная вода,0.01719770697240368,0.4271523178807947,3
"молоко, яйца",минеральная вода,0.013064924676709772,0.42424242424242425,3
"говяжий фарш, минеральная вода",макароны,0.01719770697240368,0.42019543973941365,3
оливковое масло,минеральная вода,0.027596320490601255,0.4190283400809717,2
говяжий фарш,минеральная вода,0.040927876283162246,0.41655359565807326,2
говяжий фарш,макароны,0.040261298493534194,0.40976933514246944,2
"шоколад, яйца",минеральная вода,0.013464871350486601,0.40562248995983935,3
"макароны, шоколад",минеральная вода,0.01639781362485002,0.4019607843137255,3
лосось,минеральная вода,0.017064391414478068,0.4012539184952978,2
хлопья,минеральная вода,0.010265297960271964,0.3989637305699482,2
растительное масло,минеральная вода,0.020130649246767097,0.3942558746736292,2
"макароны, яйца",минеральная вода,0.015197973603519531,0.3931034482758621,3
перец,макароны,0.010398613518197574,0.3919597989949749,2
красное вино,минеральная вода,0.010931875749900012,0.38862559241706157,2
"минеральная вода, оливковое масло",макароны,0.010665244634048793,0.3864734299516908,3
курица,минеральная вода,0.022796960405279298,0.38000000000000006,2
замороженные овощи,минеральная вода,0.03572856952406346,0.37482517482517486,2
молоко,минеральная вода,0.04799360085321957,0.3703703703703704,2
красное вино,макароны,0.010398613518197574,0.3696682464454977,2
оливковое масло,макароны,0.023730169310758567,0.3603238866396761,2
рис,минеральная вода,0.027329689374750034,0.35964912280701755,2
помидоры,минеральная вода,0.024396747100386616,0.3567251461988304,2
блинчики,минеральная вода,0.03372883615517931,0.3548387096774194,2
креветки,макароны,0.025196640447940274,0.35261194029850745,2
"молоко, шоколад",макароны,0.011198506865751233,0.3485477178423237,3
авокадо,минеральная вода,0.011598453539528063,0.348,2
"блинчики, минеральная вода",макароны,0.011731769097453673,0.34782608695652173,3
"картофель-фри, макароны",минеральная вода,0.010398613518197574,0.3451327433628319,3
травы и перец,минеральная вода,0.017064391414478068,0.34501347708894875,2
"замороженные овощи, минеральная вода",макароны,0.012265031329156113,0.34328358208955223,3
торт,минеральная вода,0.027463004932675644,0.33881578947368424,2
"минеральная вода, молоко",макароны,0.0161311825089988,0.3361111111111111,3
тертый сыр,минеральная вода,0.0174643380882549,0.3333333333333333,2
травы и перец,макароны,0.01639781362485002,0.3315363881401617,2
тертый сыр,макароны,0.01733102253032929,0.33078880407124683,2
гамбургер,яйца,0.02879616051193174,0.33027522935779813,2
креветки,минеральная вода,0.023596853752832957,0.3302238805970149,2
"шоколад, яйца",макароны,0.010931875749900012,0.3293172690763052,3
макароны,минеральная вода,0.06119184108785495,0.325531914893617,2
травы и перец,говяжий фарш,0.015997866951073192,0.3234501347708895,2
лосось,макароны,0.013731502466337822,0.322884012539185,2
шоколад,минеральная вода,0.05265964538061592,0.3213995117982099,2
растительное масло,макароны,0.01639781362485002,0.32114882506527415,2
замороженный смузи,минеральная вода,0.020263964804692707,0.32,2
мед,минеральная вода,0.015064658045593921,0.31741573033707865,2
помидоры,макароны,0.021597120383948808,0.3157894736842105,2
низкокалорийный йогурт,минеральная вода,0.023996800426609784,0.313588850174216,2
"минеральная вода, шоколад",макароны,0.01639781362485002,0.31139240506329113,3
индейка,яйца,0.01946407145713905,0.31130063965884863,2
"замороженные овощи, минеральная вода",молоко,0.011065191307825623,0.3097014925373134,3
свежий хлеб,минеральная вода,0.013331555792560993,0.30959752321981426,2
"картофель-фри, минеральная вода",макароны,0.010398613518197574,0.308300395256917,3
индейка,минеральная вода,0.019197440341287828,0.3070362473347548,2
"макароны, молоко",шоколад,0.011198506865751233,0.30324909747292417,3
суп,молоко,0.015197973603519531,0.3007915567282322,2
"минеральная вода, яйца",макароны,0.015197973603519531,0.29842931937172773,3
замороженные овощи,макароны,0.028262898280229303,0.2965034965034965,2
курица,макароны,0.01773096920410612,0.29555555555555557,2
суп,макароны,0.01493134248766831,0.2955145118733509,2
"минеральная вода, молоко",шоколад,0.013998133582189041,0.2916666666666667,3
молоко,макароны,0.03692840954539395,0.28497942386831276,2
яйца,минеральная вода,0.05092654312758299,0.28338278931750743,2
"макароны, яйца",шоколад,0.010931875749900012,0.2827586206896552,3
"макароны, минеральная вода",говяжий фарш,0.01719770697240368,0.28104575163398693,3
гамбургер,минеральная вода,0.024396747100386616,0.2798165137614679,2
индейка,макароны,0.01733102253032929,0.2771855010660981,2
"макароны, шоколад",молоко,0.011198506865751233,0.27450980392156865,3
"минеральная вода, молоко",яйца,0.013064924676709772,0.27222222222222225,3
"говяжий фарш, минеральная вода",молоко,0.011065191307825623,0.2703583061889251,3
